peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
438,2173,23,59,1913,6550,0.5772,1.0,as,async,async,0,1439556541,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556541,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
313,2167,20,59,1452,6761,0.5208,1.0,as,async,async,1,1439556542,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556542,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
406,2166,20,57,1822,6363,0.5308,1.0,as,async,async,2,1439556543,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556543,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
294,2168,19,56,1512,6636,0.5416,1.0,as,async,async,3,1439556544,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556544,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
482,2135,23,56,2295,6263,0.6328,1.0,as,async,async,4,1439556545,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556545,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
642,2152,23,58,3041,5971,0.7744,1.0,as,async,async,5,1439556546,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556546,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
633,2145,20,58,2222,6850,0.568,1.0,as,async,async,6,1439556547,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556547,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
665,2138,22,58,3139,6226,0.8128,1.0,as,async,async,7,1439556548,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556548,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
461,2156,22,56,2294,6000,0.6096,1.0,as,async,async,8,1439556549,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556549,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
605,2164,21,58,2395,6394,0.6564,1.0,as,async,async,9,1439556550,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_20251014-184603\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1439556550,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
