peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
171,2185,15,54,1004,6799,0.8004,1.0,as_mis,async_misclass,async,0,1199068826,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068826,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
197,2135,17,59,1151,6731,0.8396,1.0,as_mis,async_misclass,async,1,1199068827,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068827,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
143,2167,17,56,974,6820,0.816,1.0,as_mis,async_misclass,async,2,1199068828,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068828,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
189,2158,14,54,1064,6515,0.8172,1.0,as_mis,async_misclass,async,3,1199068829,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068829,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
156,2153,18,57,902,6665,0.7972,1.0,as_mis,async_misclass,async,4,1199068830,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068830,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
276,2158,13,58,1274,7089,0.8484,1.0,as_mis,async_misclass,async,5,1199068831,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068831,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
209,2169,15,54,1216,6823,0.8532,1.0,as_mis,async_misclass,async,6,1199068832,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068832,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
140,2154,15,47,938,6954,0.8296,1.0,as_mis,async_misclass,async,7,1199068833,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068833,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
188,2179,19,53,1057,6791,0.8036,1.0,as_mis,async_misclass,async,8,1199068834,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068834,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
126,2185,13,55,1027,6825,0.8452,1.0,as_mis,async_misclass,async,9,1199068835,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_mis_20251014-185733\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1199068835,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
