peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
1076,2086,31,59,2487,2830,0.7724,0.988,as_ref,async_refractory,async,0,3802990433,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990433,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1037,1998,31,59,2276,2754,0.6636,0.9704,as_ref,async_refractory,async,1,3802990434,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990434,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1195,2122,27,59,2406,2982,0.7696,0.99,as_ref,async_refractory,async,2,3802990435,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990435,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1153,1997,30,59,2465,2810,0.7468,0.9736,as_ref,async_refractory,async,3,3802990436,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990436,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
990,2209,27,59,1942,3145,0.6228,1.0,as_ref,async_refractory,async,4,3802990437,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990437,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
989,2179,27,59,2066,3091,0.6688,0.994,as_ref,async_refractory,async,5,3802990438,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990438,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
919,2145,32,59,2035,2938,0.6584,0.998,as_ref,async_refractory,async,6,3802990439,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990439,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1157,1923,33,59,2710,2598,0.7908,0.9664,as_ref,async_refractory,async,7,3802990440,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990440,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
804,2244,28,59,1746,3209,0.62,0.9992,as_ref,async_refractory,async,8,3802990441,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990441,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
711,2132,32,59,1731,3114,0.6208,0.9844,as_ref,async_refractory,async,9,3802990442,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990442,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1072,2059,29,59,2181,2932,0.6572,0.9816,as_ref,async_refractory,async,10,3802990443,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_10.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990443,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1083,2044,31,59,2310,2911,0.7392,0.9716,as_ref,async_refractory,async,11,3802990444,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_11.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990444,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
831,2115,31,59,1892,2980,0.6416,0.9848,as_ref,async_refractory,async,12,3802990445,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_12.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990445,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1000,2096,34,59,2194,2918,0.674,0.9988,as_ref,async_refractory,async,13,3802990446,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_13.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990446,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
775,2176,31,59,1766,3133,0.588,0.998,as_ref,async_refractory,async,14,3802990447,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_14.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990447,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
992,2164,29,59,2144,3038,0.7372,0.998,as_ref,async_refractory,async,15,3802990448,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_20251014-185212\CA_run_15.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,3802990448,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
