peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
765,2291,22,59,1628,3397,0.868,1.0,as_ref_mis,async_refractory_misclass,async,0,2876385122,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385122,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
550,2307,23,59,1365,3381,0.8468,1.0,as_ref_mis,async_refractory_misclass,async,1,2876385123,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385123,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
643,2258,25,58,1675,3264,0.9008,1.0,as_ref_mis,async_refractory_misclass,async,2,2876385124,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385124,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
638,2296,24,59,1563,3279,0.8812,1.0,as_ref_mis,async_refractory_misclass,async,3,2876385125,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385125,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
603,2315,26,59,1396,3425,0.8288,1.0,as_ref_mis,async_refractory_misclass,async,4,2876385126,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385126,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
453,2358,20,59,1067,3554,0.8116,1.0,as_ref_mis,async_refractory_misclass,async,5,2876385127,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385127,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
515,2321,27,59,1342,3433,0.8536,1.0,as_ref_mis,async_refractory_misclass,async,6,2876385128,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385128,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
712,2301,26,59,1603,3346,0.8764,1.0,as_ref_mis,async_refractory_misclass,async,7,2876385129,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385129,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
758,2299,22,58,1644,3464,0.8984,1.0,as_ref_mis,async_refractory_misclass,async,8,2876385130,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385130,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
500,2343,20,59,1236,3528,0.8376,1.0,as_ref_mis,async_refractory_misclass,async,9,2876385131,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385131,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
449,2348,24,56,1115,3490,0.8208,1.0,as_ref_mis,async_refractory_misclass,async,10,2876385132,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_10.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385132,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
740,2317,24,59,1681,3387,0.8888,1.0,as_ref_mis,async_refractory_misclass,async,11,2876385133,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_11.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385133,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
417,2294,32,59,1198,3429,0.8464,1.0,as_ref_mis,async_refractory_misclass,async,12,2876385134,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\as_ref_mis_20251014-190529\CA_run_12.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2876385134,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
