peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
502,2155,20,53,1765,6760,0.4896,1.0,async,async,async,0,3772327317,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327317,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
336,2162,18,56,1414,6609,0.5008,1.0,async,async,async,1,3772327318,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327318,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
456,2157,20,49,2187,6468,0.672,1.0,async,async,async,2,3772327319,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327319,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
450,2152,19,58,1792,6756,0.5756,1.0,async,async,async,3,3772327320,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327320,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
433,2140,23,51,1971,6563,0.6096,1.0,async,async,async,4,3772327321,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327321,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
423,2148,25,57,2099,6384,0.6132,1.0,async,async,async,5,3772327322,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327322,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
409,2145,21,57,1977,6334,0.5696,1.0,async,async,async,6,3772327323,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327323,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
588,2159,20,59,2375,6618,0.632,1.0,async,async,async,7,3772327324,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327324,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
494,2150,20,58,1977,6790,0.5848,1.0,async,async,async,8,3772327325,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327325,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
330,2179,20,50,1376,6511,0.5316,1.0,async,async,async,9,3772327326,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327326,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
407,2144,19,55,2146,6512,0.732,1.0,async,async,async,10,3772327327,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251013-173254\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3772327327,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
