peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
466,2189,20,59,1941,6701,0.5332,1.0,async_hetero,async_hetero,async,0,2434482506,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482506,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
539,2160,21,55,2300,6365,0.6476,1.0,async_hetero,async_hetero,async,1,2434482507,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482507,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
519,2141,21,59,2205,6558,0.7088,1.0,async_hetero,async_hetero,async,2,2434482508,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482508,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
333,2167,14,53,1758,6503,0.6556,1.0,async_hetero,async_hetero,async,3,2434482509,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482509,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
545,2157,22,56,2262,6447,0.6308,1.0,async_hetero,async_hetero,async,4,2434482510,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482510,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
629,2163,25,51,2581,6391,0.6944,1.0,async_hetero,async_hetero,async,5,2434482511,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482511,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
630,2144,21,54,2539,6547,0.666,1.0,async_hetero,async_hetero,async,6,2434482512,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482512,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
497,2176,23,59,2262,6422,0.6708,1.0,async_hetero,async_hetero,async,7,2434482513,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482513,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
345,2164,16,52,1605,6726,0.5084,1.0,async_hetero,async_hetero,async,8,2434482514,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482514,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
494,2160,20,59,2259,6581,0.668,1.0,async_hetero,async_hetero,async,9,2434482515,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482515,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
259,2141,16,58,1636,6233,0.548,1.0,async_hetero,async_hetero,async,10,2434482516,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482516,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
567,2148,21,55,2149,6649,0.6148,1.0,async_hetero,async_hetero,async,11,2434482517,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482517,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
448,2151,21,58,2199,6643,0.7592,1.0,async_hetero,async_hetero,async,12,2434482518,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_hetero_20251012-201959\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2434482518,async,True,False,False,True,False,3,0.02,0.2,0.35,radial
