peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
1123,2124,25,59,2338,3021,0.7292,0.994,async_refractory_async_refractory,async_refractory,async,0,1707233841,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233841,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1023,2086,32,59,2125,2872,0.6696,0.9692,async_refractory_async_refractory,async_refractory,async,1,1707233842,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233842,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1032,2144,27,59,2217,3048,0.7444,1.0,async_refractory_async_refractory,async_refractory,async,2,1707233843,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233843,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
741,2214,28,59,1709,3176,0.598,0.998,async_refractory_async_refractory,async_refractory,async,3,1707233844,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233844,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1060,2081,27,59,2242,2954,0.702,0.9768,async_refractory_async_refractory,async_refractory,async,4,1707233845,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233845,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
910,2205,26,59,1905,3181,0.6,0.998,async_refractory_async_refractory,async_refractory,async,5,1707233846,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233846,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1090,2084,28,59,2357,2957,0.7204,0.9748,async_refractory_async_refractory,async_refractory,async,6,1707233847,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233847,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1444,1573,36,59,3268,2112,0.8676,0.8384,async_refractory_async_refractory,async_refractory,async,7,1707233848,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233848,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
964,2077,28,59,2064,3029,0.63,0.9788,async_refractory_async_refractory,async_refractory,async,8,1707233849,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233849,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
839,2251,26,59,1751,3224,0.612,0.9996,async_refractory_async_refractory,async_refractory,async,9,1707233850,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_async_refractory_20251013-181343\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1707233850,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
