peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
605,2317,23,59,1297,3406,0.8312,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,0,2380317779,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317779,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
477,2353,25,59,1247,3484,0.8488,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,1,2380317780,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317780,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
632,2341,23,58,1407,3487,0.8868,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,2,2380317781,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317781,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
584,2332,25,58,1429,3396,0.878,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,3,2380317782,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317782,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
627,2331,26,59,1380,3431,0.8496,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,4,2380317783,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317783,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
614,2310,24,59,1531,3328,0.8676,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,5,2380317784,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317784,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
482,2349,27,59,1155,3459,0.8564,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,6,2380317785,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317785,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
456,2346,21,59,1117,3564,0.8468,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,7,2380317786,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317786,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
543,2286,25,59,1351,3335,0.8548,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,8,2380317787,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317787,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
580,2283,24,59,1532,3375,0.8888,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,9,2380317788,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317788,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
693,2320,25,58,1611,3370,0.8968,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,10,2380317789,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317789,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
490,2297,21,57,1350,3312,0.8428,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,11,2380317790,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317790,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
628,2299,26,59,1517,3281,0.8776,1.0,async_refractory_misclass_async_refractory_misclass,async_refractory_misclass,async,12,2380317791,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_async_refractory_misclass_20251013-182326\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2380317791,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
