peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
672,2333,25,59,1575,3408,0.9052,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,0,4291158629,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158629,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
675,2308,25,59,1598,3393,0.8736,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,1,4291158630,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158630,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
807,2282,28,59,1808,3232,0.8908,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,2,4291158631,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158631,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
520,2275,26,59,1553,3276,0.884,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,3,4291158632,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158632,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
519,2292,28,58,1295,3294,0.838,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,4,4291158633,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158633,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
552,2322,23,58,1435,3430,0.8704,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,5,4291158634,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158634,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
496,2319,25,59,1248,3418,0.8568,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,6,4291158635,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158635,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
733,2315,24,59,1620,3395,0.8984,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,7,4291158636,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158636,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
714,2295,27,59,1724,3319,0.9144,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,8,4291158637,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158637,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
607,2305,26,59,1647,3333,0.8896,1.0,async_refractory_misclass_hetero,async_refractory_misclass_hetero,async,9,4291158638,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_20251012-202537\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4291158638,async,True,True,True,True,False,3,0.02,0.2,0.35,radial
