peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,seed_used,peak_fake,peak_real,t_peak_fake,t_peak_real,cum_shares_fake,cum_shares_real,run_index,seed,json_path
434,2160,21,55,2131,6634,58.44,100.0,231049246,434,2160,21,55,2131,6634,0,231049246,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_00.json
679,2180,23,55,2469,6797,57.92,100.0,231049247,679,2180,23,55,2469,6797,1,231049247,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_01.json
578,2198,23,58,2408,6690,56.32,100.0,231049248,578,2198,23,58,2408,6690,2,231049248,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_02.json
768,2168,22,55,2649,6668,58.8,100.0,231049249,768,2168,22,55,2649,6668,3,231049249,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_03.json
456,2178,23,59,2286,6346,60.4,100.0,231049250,456,2178,23,59,2286,6346,4,231049250,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_04.json
547,2183,15,51,2325,6948,59.24,100.0,231049251,547,2183,15,51,2325,6948,5,231049251,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_05.json
633,2149,23,59,2750,6512,63.56,100.0,231049252,633,2149,23,59,2750,6512,6,231049252,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_06.json
761,2193,23,58,3143,6405,64.84,100.0,231049253,761,2193,23,58,3143,6405,7,231049253,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_07.json
697,2179,20,59,2430,6946,61.28,100.0,231049254,697,2179,20,59,2430,6946,8,231049254,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_08.json
420,2166,20,58,2133,6674,61.12,100.0,231049255,420,2166,20,58,2133,6674,9,231049255,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_09.json
536,2195,24,57,2202,6917,62.2,100.0,231049256,536,2195,24,57,2202,6917,10,231049256,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_10.json
831,2163,22,52,3140,6448,67.16,100.0,231049257,831,2163,22,52,3140,6448,11,231049257,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_11.json
858,2177,22,56,3238,6473,65.04,100.0,231049258,858,2177,22,56,3238,6473,12,231049258,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_12.json
720,2184,27,58,3040,6510,69.6,100.0,231049259,720,2184,27,58,3040,6510,13,231049259,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_13.json
692,2174,19,53,2665,6864,62.2,100.0,231049260,692,2174,19,53,2665,6864,14,231049260,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_14.json
773,2169,24,58,3266,6521,61.96,100.0,231049261,773,2169,24,58,3266,6521,15,231049261,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_15.json
576,2185,16,45,2192,7210,63.2,100.0,231049262,576,2185,16,45,2192,7210,16,231049262,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_16.json
384,2174,25,53,1824,6799,53.56,100.0,231049263,384,2174,25,53,1824,6799,17,231049263,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_17.json
507,2169,18,53,2135,6963,62.6,100.0,231049264,507,2169,18,53,2135,6963,18,231049264,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_18.json
649,2191,20,58,2619,6925,61.96,100.0,231049265,649,2191,20,58,2619,6925,19,231049265,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-101822\CA_run_19.json
