peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,run_index,seed,json_path
506,2163,21,52,2460,6619,0.642,1.0,0,2728137251,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_00.json
580,2169,24,50,2629,6687,0.6168,1.0,1,2728137252,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_01.json
568,2162,21,56,2189,7014,0.5768,1.0,2,2728137253,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_02.json
636,2151,21,54,2422,6933,0.5468,1.0,3,2728137254,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_03.json
465,2184,17,55,1714,7209,0.504,1.0,4,2728137255,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_04.json
494,2209,15,52,1701,7420,0.5484,1.0,5,2728137256,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_05.json
419,2185,20,59,2551,6324,0.7116,1.0,6,2728137257,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_06.json
958,2195,20,52,3149,6728,0.7236,1.0,7,2728137258,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_07.json
686,2173,22,59,2681,6823,0.6408,1.0,8,2728137259,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_08.json
160,2172,23,53,987,7216,0.4244,1.0,9,2728137260,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_09.json
605,2185,17,56,2209,7322,0.6332,1.0,10,2728137261,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_10.json
683,2196,20,52,2733,6823,0.6144,1.0,11,2728137262,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_11.json
465,2172,20,57,2207,6818,0.6144,1.0,12,2728137263,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_12.json
470,2196,20,55,1903,6972,0.5412,1.0,13,2728137264,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_13.json
412,2182,15,58,1709,7255,0.6108,1.0,14,2728137265,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_14.json
520,2193,20,54,2156,6726,0.5876,1.0,15,2728137266,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_15.json
605,2212,19,57,2321,6833,0.608,1.0,16,2728137267,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_16.json
518,2195,20,56,2411,6844,0.7484,1.0,17,2728137268,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_17.json
533,2175,16,52,2192,7022,0.6264,1.0,18,2728137269,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_18.json
613,2177,20,58,2467,6847,0.6836,1.0,19,2728137270,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102853\CA_run_19.json
