peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
485,2117,23,59,2408,5938,0.6092,1.0,baseline,baseline,sync,0,3079462773,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462773,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
178,2157,19,56,1065,6046,0.4692,1.0,baseline,baseline,sync,1,3079462774,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462774,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
410,2129,21,56,1938,6192,0.6664,1.0,baseline,baseline,sync,2,3079462775,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462775,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
311,2140,21,59,1563,5837,0.4592,1.0,baseline,baseline,sync,3,3079462776,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462776,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
466,2120,28,59,2499,5976,0.6728,1.0,baseline,baseline,sync,4,3079462777,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462777,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
343,2139,23,52,2062,6115,0.6812,1.0,baseline,baseline,sync,5,3079462778,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462778,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
452,2152,21,55,1803,6501,0.5872,1.0,baseline,baseline,sync,6,3079462779,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462779,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
521,2122,28,58,2759,5775,0.6432,1.0,baseline,baseline,sync,7,3079462780,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462780,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
369,2137,24,59,1842,6024,0.584,1.0,baseline,baseline,sync,8,3079462781,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462781,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
381,2115,25,59,2123,5864,0.6736,1.0,baseline,baseline,sync,9,3079462782,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462782,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
641,2143,26,59,2690,6041,0.686,1.0,baseline,baseline,sync,10,3079462783,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462783,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
666,2132,25,54,2710,6012,0.6276,1.0,baseline,baseline,sync,11,3079462784,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462784,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
281,2130,20,59,1725,5894,0.5488,1.0,baseline,baseline,sync,12,3079462785,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462785,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
648,2122,30,57,2683,5675,0.6196,1.0,baseline,baseline,sync,13,3079462786,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462786,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
237,2153,17,56,1299,6206,0.4996,1.0,baseline,baseline,sync,14,3079462787,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462787,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
419,2125,29,59,2186,5896,0.6524,1.0,baseline,baseline,sync,15,3079462788,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462788,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
539,2103,27,59,2487,5539,0.622,1.0,baseline,baseline,sync,16,3079462789,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-194151\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3079462789,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
