peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
407,2131,22,58,2165,5925,0.642,1.0,bl,baseline,sync,0,4272173009,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173009,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
684,2103,30,57,3140,5669,0.692,1.0,bl,baseline,sync,1,4272173010,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173010,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
629,2138,26,58,2785,6054,0.6596,1.0,bl,baseline,sync,2,4272173011,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173011,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
462,2086,30,59,2819,5438,0.7184,1.0,bl,baseline,sync,3,4272173012,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173012,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
495,2151,32,58,2428,5905,0.6112,1.0,bl,baseline,sync,4,4272173013,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173013,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
439,2133,23,59,2405,6053,0.6456,1.0,bl,baseline,sync,5,4272173014,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173014,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
726,2131,27,57,3152,5824,0.6756,1.0,bl,baseline,sync,6,4272173015,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173015,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
568,2101,28,59,2802,5760,0.5968,1.0,bl,baseline,sync,7,4272173016,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173016,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
470,2122,24,59,2188,5997,0.5616,1.0,bl,baseline,sync,8,4272173017,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173017,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
502,2139,28,58,2619,5929,0.6944,1.0,bl,baseline,sync,9,4272173018,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173018,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
351,2096,19,59,2100,5919,0.6824,1.0,bl,baseline,sync,10,4272173019,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_10.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173019,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
415,2099,22,57,2263,5987,0.5852,1.0,bl,baseline,sync,11,4272173020,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_11.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173020,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
628,2121,25,58,2853,5724,0.662,1.0,bl,baseline,sync,12,4272173021,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_12.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173021,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
419,2128,24,52,2072,6190,0.5572,1.0,bl,baseline,sync,13,4272173022,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_13.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173022,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
479,2121,25,56,2843,5704,0.7584,1.0,bl,baseline,sync,14,4272173023,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_14.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173023,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
516,2115,26,59,2648,5960,0.6764,1.0,bl,baseline,sync,15,4272173024,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_15.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173024,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
605,2147,26,59,2482,6082,0.5316,1.0,bl,baseline,sync,16,4272173025,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_16.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173025,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
422,2172,24,58,2288,5930,0.6244,1.0,bl,baseline,sync,17,4272173026,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_17.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173026,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
605,2125,24,59,2948,5712,0.6916,1.0,bl,baseline,sync,18,4272173027,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_18.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173027,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
400,2129,25,59,2164,6109,0.5756,1.0,bl,baseline,sync,19,4272173028,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\bl_20251014-184529\CA_run_19.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4272173028,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
