peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
430,2264,27,59,1192,3286,0.8492,1.0,full,async_refractory_misclass_hetero_spatial,async,0,1844732736,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732736,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
509,2220,26,59,1284,3106,0.848,1.0,full,async_refractory_misclass_hetero_spatial,async,1,1844732737,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732737,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
594,2255,24,59,1364,3322,0.8616,1.0,full,async_refractory_misclass_hetero_spatial,async,2,1844732738,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732738,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
410,2260,27,59,1226,3227,0.8476,1.0,full,async_refractory_misclass_hetero_spatial,async,3,1844732739,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732739,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
556,2268,29,58,1369,3229,0.8588,1.0,full,async_refractory_misclass_hetero_spatial,async,4,1844732740,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732740,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
491,2165,25,59,1472,3057,0.8756,0.9992,full,async_refractory_misclass_hetero_spatial,async,5,1844732741,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732741,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
488,2170,30,59,1246,2966,0.8044,0.996,full,async_refractory_misclass_hetero_spatial,async,6,1844732742,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732742,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
548,2234,27,59,1474,3203,0.8724,1.0,full,async_refractory_misclass_hetero_spatial,async,7,1844732743,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732743,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
354,2228,27,59,1087,3184,0.834,1.0,full,async_refractory_misclass_hetero_spatial,async,8,1844732744,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732744,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
516,2266,27,59,1237,3271,0.8548,1.0,full,async_refractory_misclass_hetero_spatial,async,9,1844732745,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732745,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
508,2158,30,59,1423,2967,0.8532,0.9984,full,async_refractory_misclass_hetero_spatial,async,10,1844732746,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_10.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732746,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
620,2242,26,59,1512,3146,0.87,1.0,full,async_refractory_misclass_hetero_spatial,async,11,1844732747,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_11.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732747,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
527,2228,29,59,1405,3162,0.8332,1.0,full,async_refractory_misclass_hetero_spatial,async,12,1844732748,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_12.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732748,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
536,2200,31,59,1478,3097,0.8748,1.0,full,async_refractory_misclass_hetero_spatial,async,13,1844732749,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_13.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732749,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
470,2213,27,59,1399,3059,0.8592,1.0,full,async_refractory_misclass_hetero_spatial,async,14,1844732750,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_14.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732750,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
572,2182,32,58,1451,3105,0.862,1.0,full,async_refractory_misclass_hetero_spatial,async,15,1844732751,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_15.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732751,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
462,2205,25,59,1398,3049,0.8552,1.0,full,async_refractory_misclass_hetero_spatial,async,16,1844732752,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_16.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732752,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
561,2270,31,59,1402,3217,0.8764,1.0,full,async_refractory_misclass_hetero_spatial,async,17,1844732753,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_17.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732753,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
488,2259,27,59,1236,3265,0.8368,1.0,full,async_refractory_misclass_hetero_spatial,async,18,1844732754,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_18.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732754,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
523,2265,27,59,1148,3201,0.804,1.0,full,async_refractory_misclass_hetero_spatial,async,19,1844732755,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\full_20251014-191349\CA_run_19.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1844732755,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
