peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
360,2116,25,57,1985,6012,0.5956,1.0,het,hetero,sync,0,1194282140,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282140,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
463,2126,25,59,2263,6152,0.5996,1.0,het,hetero,sync,1,1194282141,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282141,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
563,2061,29,59,3081,5301,0.7572,1.0,het,hetero,sync,2,1194282142,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282142,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
437,2185,24,55,2130,6030,0.618,1.0,het,hetero,sync,3,1194282143,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282143,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
440,2163,22,59,2478,5974,0.73,1.0,het,hetero,sync,4,1194282144,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282144,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
381,2123,27,59,2199,5864,0.6204,1.0,het,hetero,sync,5,1194282145,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282145,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
894,2067,31,59,4042,5219,0.742,1.0,het,hetero,sync,6,1194282146,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282146,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
433,2156,25,59,2388,6087,0.6348,1.0,het,hetero,sync,7,1194282147,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282147,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
376,2130,21,56,1881,6045,0.6084,1.0,het,hetero,sync,8,1194282148,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282148,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
394,2140,27,59,2194,5895,0.5724,1.0,het,hetero,sync,9,1194282149,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_20251014-191219\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1194282149,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
