peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
637,1886,34,59,3257,4677,0.6732,0.9988,het_spa,hetero_spatial,sync,0,4164015570,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015570,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
322,1941,29,58,1844,5084,0.626,0.98,het_spa,hetero_spatial,sync,1,4164015571,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015571,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
353,1992,25,59,1822,5346,0.5928,1.0,het_spa,hetero_spatial,sync,2,4164015572,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015572,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
442,2048,26,59,1979,5500,0.5752,1.0,het_spa,hetero_spatial,sync,3,4164015573,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015573,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
550,2017,31,58,2436,5172,0.606,1.0,het_spa,hetero_spatial,sync,4,4164015574,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015574,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
434,2012,25,58,2178,5151,0.5328,1.0,het_spa,hetero_spatial,sync,5,4164015575,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015575,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
514,1978,32,59,2434,5024,0.676,0.9964,het_spa,hetero_spatial,sync,6,4164015576,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015576,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
306,1929,25,59,1635,5029,0.5412,0.9916,het_spa,hetero_spatial,sync,7,4164015577,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015577,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
451,1996,31,59,2541,5113,0.704,1.0,het_spa,hetero_spatial,sync,8,4164015578,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015578,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
443,2001,31,59,2445,5029,0.592,1.0,het_spa,hetero_spatial,sync,9,4164015579,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\het_spa_20251014-191319\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,4164015579,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
