peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
389,2082,21,57,2131,5805,0.7048,0.9972,hetero,hetero,sync,0,427140114,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140114,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
686,2102,29,59,3196,5646,0.6064,1.0,hetero,hetero,sync,1,427140115,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140115,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
392,2091,18,57,2380,5863,0.72,1.0,hetero,hetero,sync,2,427140116,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140116,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
637,2157,24,59,2728,6069,0.654,1.0,hetero,hetero,sync,3,427140117,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140117,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
445,2149,26,57,2426,6002,0.7212,1.0,hetero,hetero,sync,4,427140118,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140118,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
326,2131,20,59,1863,6048,0.6196,1.0,hetero,hetero,sync,5,427140119,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140119,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
384,2153,25,59,2031,6141,0.6112,1.0,hetero,hetero,sync,6,427140120,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140120,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
542,2109,29,56,2813,5778,0.7788,1.0,hetero,hetero,sync,7,427140121,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140121,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
589,2122,29,58,3167,5569,0.7,1.0,hetero,hetero,sync,8,427140122,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140122,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
407,2172,22,57,2170,6091,0.6508,1.0,hetero,hetero,sync,9,427140123,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140123,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
573,2169,23,56,2640,6105,0.682,1.0,hetero,hetero,sync,10,427140124,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_20251012-201913\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,427140124,sync,False,False,False,True,False,3,0.02,0.2,0.35,radial
