peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
155,2128,14,55,1101,6183,0.808,1.0,mis,misclass,sync,0,340235470,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235470,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
200,2124,18,58,1334,6248,0.8292,1.0,mis,misclass,sync,1,340235471,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235471,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
184,2154,13,59,1350,6357,0.8544,1.0,mis,misclass,sync,2,340235472,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235472,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
153,2152,15,58,1179,6271,0.8176,1.0,mis,misclass,sync,3,340235473,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235473,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
174,2142,17,57,1157,6365,0.7944,1.0,mis,misclass,sync,4,340235474,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235474,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
145,2130,14,58,872,6274,0.7516,1.0,mis,misclass,sync,5,340235475,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235475,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
195,2155,18,54,1108,6533,0.808,1.0,mis,misclass,sync,6,340235476,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235476,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
136,2135,13,53,877,6567,0.782,1.0,mis,misclass,sync,7,340235477,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235477,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
149,2166,13,57,937,6250,0.7752,1.0,mis,misclass,sync,8,340235478,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235478,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
194,2155,15,57,1250,6128,0.8036,1.0,mis,misclass,sync,9,340235479,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\mis_20251014-185138\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,340235479,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
