peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
201,2163,17,58,1140,6579,0.8048,1.0,misclass,misclass,sync,0,3108334710,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334710,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
216,2178,17,55,1310,6406,0.8468,1.0,misclass,misclass,sync,1,3108334711,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334711,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
146,2143,15,50,1269,6356,0.8288,1.0,misclass,misclass,sync,2,3108334712,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334712,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
260,2171,18,54,1269,6460,0.8164,1.0,misclass,misclass,sync,3,3108334713,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334713,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
199,2157,16,54,1111,6789,0.786,1.0,misclass,misclass,sync,4,3108334714,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334714,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
237,2150,17,58,1491,6284,0.846,1.0,misclass,misclass,sync,5,3108334715,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334715,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
178,2163,13,52,1273,6310,0.8444,1.0,misclass,misclass,sync,6,3108334716,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334716,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
130,2145,21,57,1056,6372,0.8144,1.0,misclass,misclass,sync,7,3108334717,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334717,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
104,2160,13,55,651,6668,0.7252,1.0,misclass,misclass,sync,8,3108334718,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334718,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
140,2135,13,59,823,6152,0.7432,1.0,misclass,misclass,sync,9,3108334719,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251012-195717\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3108334719,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
