peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
199,2172,17,55,1158,6572,0.8064,1.0,misclass_hetero,misclass_hetero,sync,0,439234960,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234960,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
245,2106,16,59,1639,6274,0.8808,1.0,misclass_hetero,misclass_hetero,sync,1,439234961,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234961,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
209,2145,17,54,1122,6364,0.7888,1.0,misclass_hetero,misclass_hetero,sync,2,439234962,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234962,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
140,2141,14,59,1321,6146,0.8636,1.0,misclass_hetero,misclass_hetero,sync,3,439234963,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234963,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
173,2117,14,56,1404,5878,0.8456,1.0,misclass_hetero,misclass_hetero,sync,4,439234964,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234964,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
133,2116,17,56,841,6025,0.724,0.9976,misclass_hetero,misclass_hetero,sync,5,439234965,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234965,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
179,2151,15,59,1087,6726,0.8044,1.0,misclass_hetero,misclass_hetero,sync,6,439234966,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234966,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
227,2145,17,59,1507,6299,0.8804,1.0,misclass_hetero,misclass_hetero,sync,7,439234967,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234967,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
123,2100,16,59,829,5967,0.752,0.998,misclass_hetero,misclass_hetero,sync,8,439234968,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234968,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
263,2141,19,57,1307,6331,0.7916,1.0,misclass_hetero,misclass_hetero,sync,9,439234969,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234969,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
213,2113,14,59,1320,6183,0.8068,1.0,misclass_hetero,misclass_hetero,sync,10,439234970,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234970,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
170,2135,17,55,865,5899,0.7308,1.0,misclass_hetero,misclass_hetero,sync,11,439234971,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234971,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
185,2141,16,55,936,6599,0.7796,1.0,misclass_hetero,misclass_hetero,sync,12,439234972,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234972,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
237,2143,15,58,1401,6667,0.8544,1.0,misclass_hetero,misclass_hetero,sync,13,439234973,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234973,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
203,2147,16,54,1269,6340,0.7996,1.0,misclass_hetero,misclass_hetero,sync,14,439234974,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234974,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
198,2115,17,58,972,6126,0.7356,0.9984,misclass_hetero,misclass_hetero,sync,15,439234975,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234975,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
140,2163,14,58,771,6317,0.7256,1.0,misclass_hetero,misclass_hetero,sync,16,439234976,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234976,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
133,2148,13,52,828,6523,0.758,1.0,misclass_hetero,misclass_hetero,sync,17,439234977,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_17.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234977,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
174,2175,15,58,937,6655,0.7932,1.0,misclass_hetero,misclass_hetero,sync,18,439234978,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_18.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234978,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
128,2129,17,56,930,6171,0.78,1.0,misclass_hetero,misclass_hetero,sync,19,439234979,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_hetero_20251012-202513\CA_run_19.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,439234979,sync,False,False,True,True,False,3,0.02,0.2,0.35,radial
