peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
823,1895,33,59,2116,2597,0.6584,0.9168,ref,refractory,sync,0,1642237232,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237232,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
870,2166,27,59,1890,2992,0.6536,0.9992,ref,refractory,sync,1,1642237233,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237233,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1036,1877,35,59,2359,2591,0.7288,0.8984,ref,refractory,sync,2,1642237234,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237234,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1016,1977,33,59,2237,2741,0.7284,0.9524,ref,refractory,sync,3,1642237235,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237235,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1131,2003,31,59,2348,2752,0.6908,0.97,ref,refractory,sync,4,1642237236,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237236,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
745,2004,36,58,1861,2791,0.6548,0.9612,ref,refractory,sync,5,1642237237,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237237,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
919,1938,37,59,2134,2710,0.6844,0.9384,ref,refractory,sync,6,1642237238,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237238,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1005,1986,34,59,2240,2744,0.7516,0.9628,ref,refractory,sync,7,1642237239,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237239,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
945,2024,33,59,2081,2828,0.6656,0.9832,ref,refractory,sync,8,1642237240,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237240,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
957,1998,38,59,2137,2711,0.7272,0.9804,ref,refractory,sync,9,1642237241,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237241,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
951,2033,32,59,2048,2815,0.6236,0.9676,ref,refractory,sync,10,1642237242,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_10.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237242,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
858,1942,35,59,1858,2706,0.568,0.9064,ref,refractory,sync,11,1642237243,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_11.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237243,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
851,2136,32,59,1902,2894,0.6804,0.998,ref,refractory,sync,12,1642237244,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_12.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237244,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
760,2110,35,59,1749,2956,0.5868,0.9912,ref,refractory,sync,13,1642237245,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_13.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237245,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
402,2192,33,59,1146,3029,0.422,0.9736,ref,refractory,sync,14,1642237246,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_14.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237246,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1031,1951,30,59,2092,2728,0.6244,0.9564,ref,refractory,sync,15,1642237247,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_15.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237247,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
904,1732,44,59,2245,2359,0.7,0.8992,ref,refractory,sync,16,1642237248,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_16.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237248,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1050,1914,31,59,2397,2633,0.734,0.9356,ref,refractory,sync,17,1642237249,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_17.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237249,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
761,2024,37,59,1729,2793,0.5488,0.9588,ref,refractory,sync,18,1642237250,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_18.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237250,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
903,1787,40,59,2367,2504,0.7404,0.8976,ref,refractory,sync,19,1642237251,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_20251014-185102\CA_run_19.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,1642237251,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
