peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
524,2250,33,59,1521,3210,0.8612,0.9996,ref_mis,refractory_misclass,sync,0,2045093254,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093254,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
521,2289,28,59,1359,3275,0.8576,1.0,ref_mis,refractory_misclass,sync,1,2045093255,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093255,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
569,2196,26,59,1547,3110,0.8684,0.9968,ref_mis,refractory_misclass,sync,2,2045093256,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093256,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
546,2283,29,58,1384,3285,0.8448,1.0,ref_mis,refractory_misclass,sync,3,2045093257,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093257,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
601,2279,29,59,1462,3285,0.852,1.0,ref_mis,refractory_misclass,sync,4,2045093258,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093258,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
523,2245,27,59,1527,3172,0.8708,1.0,ref_mis,refractory_misclass,sync,5,2045093259,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093259,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
522,2195,23,59,1598,3055,0.8904,0.9976,ref_mis,refractory_misclass,sync,6,2045093260,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093260,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
750,2211,31,59,1910,3111,0.9028,1.0,ref_mis,refractory_misclass,sync,7,2045093261,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093261,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
683,2254,32,59,1687,3135,0.8908,1.0,ref_mis,refractory_misclass,sync,8,2045093262,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093262,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
473,2321,25,59,1285,3305,0.8524,1.0,ref_mis,refractory_misclass,sync,9,2045093263,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093263,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
602,2197,30,59,1682,3158,0.8832,1.0,ref_mis,refractory_misclass,sync,10,2045093264,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_10.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093264,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
472,2224,32,59,1471,3232,0.8644,1.0,ref_mis,refractory_misclass,sync,11,2045093265,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_11.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093265,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
657,2300,27,59,1577,3317,0.8692,1.0,ref_mis,refractory_misclass,sync,12,2045093266,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_12.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093266,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
379,2313,26,59,1211,3322,0.8504,0.9996,ref_mis,refractory_misclass,sync,13,2045093267,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_13.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093267,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
624,2202,26,59,1615,3067,0.8644,0.9996,ref_mis,refractory_misclass,sync,14,2045093268,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\ref_mis_20251014-190456\CA_run_14.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2045093268,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
