peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
787,2096,29,59,1918,2894,0.6804,0.9896,refractory,refractory,sync,0,1935367505,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367505,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1083,1780,34,59,2414,2442,0.684,0.868,refractory,refractory,sync,1,1935367506,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367506,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1164,1625,38,59,2611,2254,0.738,0.828,refractory,refractory,sync,2,1935367507,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367507,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
664,2019,35,59,1877,2838,0.6432,0.9476,refractory,refractory,sync,3,1935367508,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367508,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1054,1942,32,59,2309,2692,0.7016,0.9448,refractory,refractory,sync,4,1935367509,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367509,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
843,2088,30,59,1872,2909,0.6428,0.9828,refractory,refractory,sync,5,1935367510,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367510,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
814,2089,36,59,1850,2924,0.6136,0.9776,refractory,refractory,sync,6,1935367511,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367511,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
942,2077,31,59,1969,2941,0.6536,0.986,refractory,refractory,sync,7,1935367512,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367512,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1038,1900,36,59,2412,2600,0.7632,0.9336,refractory,refractory,sync,8,1935367513,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367513,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
717,1998,33,59,1888,2744,0.6744,0.9756,refractory,refractory,sync,9,1935367514,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367514,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1019,1837,38,59,2294,2549,0.678,0.9128,refractory,refractory,sync,10,1935367515,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367515,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1156,1989,32,59,2425,2686,0.732,0.9848,refractory,refractory,sync,11,1935367516,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367516,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
725,2139,32,59,1738,3007,0.6192,0.9892,refractory,refractory,sync,12,1935367517,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367517,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1052,1847,33,59,2428,2546,0.7116,0.9196,refractory,refractory,sync,13,1935367518,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367518,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1087,1674,36,59,2321,2383,0.6132,0.834,refractory,refractory,sync,14,1935367519,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367519,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
889,2059,36,59,2030,2779,0.6576,0.9772,refractory,refractory,sync,15,1935367520,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367520,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1147,1768,36,59,2466,2390,0.7096,0.916,refractory,refractory,sync,16,1935367521,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367521,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
790,2060,33,59,1884,2890,0.6132,0.9764,refractory,refractory,sync,17,1935367522,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_17.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367522,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
1039,1769,37,59,2245,2477,0.6248,0.8652,refractory,refractory,sync,18,1935367523,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_18.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367523,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
687,1907,35,59,1950,2601,0.738,0.94,refractory,refractory,sync,19,1935367524,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_20251012-195647\CA_run_19.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1935367524,sync,False,True,False,False,False,3,0.02,0.2,0.35,radial
