peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
1019,2033,35,59,2251,2745,0.7176,0.9852,refractory_hetero,refractory_hetero,sync,0,2875202803,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202803,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
936,1792,36,59,2280,2438,0.7148,0.902,refractory_hetero,refractory_hetero,sync,1,2875202804,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202804,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
925,1954,36,59,1924,2746,0.6116,0.9404,refractory_hetero,refractory_hetero,sync,2,2875202805,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202805,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
744,2152,29,59,1705,3051,0.5888,0.98,refractory_hetero,refractory_hetero,sync,3,2875202806,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202806,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
929,1888,35,59,2239,2613,0.704,0.924,refractory_hetero,refractory_hetero,sync,4,2875202807,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202807,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
1034,1890,33,59,2282,2644,0.7188,0.9184,refractory_hetero,refractory_hetero,sync,5,2875202808,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202808,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
871,1962,35,59,2147,2688,0.7356,0.964,refractory_hetero,refractory_hetero,sync,6,2875202809,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202809,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
1140,1812,36,59,2400,2520,0.6784,0.9108,refractory_hetero,refractory_hetero,sync,7,2875202810,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202810,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
1019,1918,32,59,2244,2633,0.7044,0.9204,refractory_hetero,refractory_hetero,sync,8,2875202811,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202811,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
1012,1839,36,59,2441,2566,0.758,0.9124,refractory_hetero,refractory_hetero,sync,9,2875202812,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_hetero_20251012-202428\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2875202812,sync,False,True,False,True,False,3,0.02,0.2,0.35,radial
