peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
762,2108,30,59,2062,2838,0.9096,0.9992,refractory_misclass,refractory_misclass,sync,0,3203592713,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592713,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
726,2282,30,59,1678,3258,0.874,1.0,refractory_misclass,refractory_misclass,sync,1,3203592714,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592714,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
557,2310,27,59,1304,3376,0.824,1.0,refractory_misclass,refractory_misclass,sync,2,3203592715,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592715,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
474,2151,33,59,1517,2971,0.8572,0.9996,refractory_misclass,refractory_misclass,sync,3,3203592716,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592716,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
612,2306,26,59,1502,3308,0.8616,1.0,refractory_misclass,refractory_misclass,sync,4,3203592717,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592717,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
689,2272,30,59,1679,3226,0.8992,1.0,refractory_misclass,refractory_misclass,sync,5,3203592718,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592718,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
643,2201,28,59,1744,3087,0.8828,0.9984,refractory_misclass,refractory_misclass,sync,6,3203592719,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592719,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
664,2285,29,58,1480,3278,0.8496,1.0,refractory_misclass,refractory_misclass,sync,7,3203592720,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592720,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
552,2234,27,59,1570,3186,0.8692,0.9992,refractory_misclass,refractory_misclass,sync,8,3203592721,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592721,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
478,2279,32,59,1391,3200,0.8512,1.0,refractory_misclass,refractory_misclass,sync,9,3203592722,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592722,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
660,2272,24,59,1601,3256,0.8832,1.0,refractory_misclass,refractory_misclass,sync,10,3203592723,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592723,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
637,2240,30,59,1799,3126,0.8908,1.0,refractory_misclass,refractory_misclass,sync,11,3203592724,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592724,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
614,2264,30,59,1517,3251,0.8508,1.0,refractory_misclass,refractory_misclass,sync,12,3203592725,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592725,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
582,2313,29,59,1393,3330,0.8452,1.0,refractory_misclass,refractory_misclass,sync,13,3203592726,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592726,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
443,2318,28,59,1121,3353,0.7912,1.0,refractory_misclass,refractory_misclass,sync,14,3203592727,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592727,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
528,2283,24,59,1362,3279,0.826,1.0,refractory_misclass,refractory_misclass,sync,15,3203592728,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592728,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
625,2267,27,59,1528,3236,0.8644,1.0,refractory_misclass,refractory_misclass,sync,16,3203592729,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251012-201428\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3203592729,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
