peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_seeds_f0,param_seeds_r0,param_beta_see,param_beta_share_f,param_beta_share_r,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
661,1994,30,59,3349,4763,0.6808,1.0,spa,spatial,sync,0,2464087321,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_00.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087321,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
312,2001,23,59,1679,5286,0.5852,0.9984,spa,spatial,sync,1,2464087322,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_01.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087322,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
630,2052,29,59,2858,5089,0.5488,1.0,spa,spatial,sync,2,2464087323,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_02.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087323,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
497,2011,25,56,2579,5278,0.7232,1.0,spa,spatial,sync,3,2464087324,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_03.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087324,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
485,1896,37,59,2822,4602,0.6928,0.9976,spa,spatial,sync,4,2464087325,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_04.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087325,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
465,1992,29,59,2375,4972,0.6376,0.9988,spa,spatial,sync,5,2464087326,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_05.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087326,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
477,1954,29,59,2436,4686,0.53,0.99,spa,spatial,sync,6,2464087327,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_06.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087327,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
408,1934,28,59,2028,5122,0.5828,0.9884,spa,spatial,sync,7,2464087328,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_07.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087328,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
422,2036,29,58,2007,5337,0.606,0.9988,spa,spatial,sync,8,2464087329,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_08.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087329,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
325,1942,28,59,2101,4833,0.652,0.9976,spa,spatial,sync,9,2464087330,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spa_20251014-191248\CA_run_09.json,50,60,6,5,0.35,0.5,0.4,0.7,0.3,0.12,0.06,2464087330,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
