peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
407,2016,24,59,2450,5176,0.622,1.0,spatial,spatial,sync,0,279557184,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557184,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
425,1964,37,59,2529,5046,0.6728,0.9996,spatial,spatial,sync,1,279557185,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557185,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
513,1980,30,58,2625,4955,0.6752,1.0,spatial,spatial,sync,2,279557186,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557186,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
534,1990,28,57,2628,5185,0.6524,0.9992,spatial,spatial,sync,3,279557187,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557187,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
639,1999,36,59,3320,4756,0.696,1.0,spatial,spatial,sync,4,279557188,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557188,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
388,2025,27,59,2063,5333,0.6404,1.0,spatial,spatial,sync,5,279557189,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557189,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
377,1969,25,58,1925,5151,0.5908,1.0,spatial,spatial,sync,6,279557190,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557190,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
511,2000,32,59,2529,5082,0.6216,1.0,spatial,spatial,sync,7,279557191,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557191,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
500,1932,35,59,2670,4836,0.6236,0.9932,spatial,spatial,sync,8,279557192,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557192,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
360,1942,26,59,1956,5219,0.5884,0.9832,spatial,spatial,sync,9,279557193,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557193,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
665,1952,35,59,3329,4723,0.6928,1.0,spatial,spatial,sync,10,279557194,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557194,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
245,1911,24,58,1611,5049,0.6164,0.9756,spatial,spatial,sync,11,279557195,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557195,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
515,1996,30,59,2470,5132,0.5956,1.0,spatial,spatial,sync,12,279557196,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557196,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
644,1971,31,59,3182,4733,0.6668,0.9996,spatial,spatial,sync,13,279557197,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557197,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
517,1965,29,58,2443,4954,0.6308,0.9912,spatial,spatial,sync,14,279557198,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557198,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
491,1890,26,59,2508,4843,0.6692,0.9736,spatial,spatial,sync,15,279557199,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557199,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
225,2018,19,59,1449,5230,0.5224,0.9932,spatial,spatial,sync,16,279557200,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557200,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
450,2003,27,59,2449,5140,0.6484,1.0,spatial,spatial,sync,17,279557201,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_17.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557201,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
342,1967,29,59,2206,5192,0.6064,0.9992,spatial,spatial,sync,18,279557202,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_18.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557202,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
624,1971,35,58,3237,4790,0.6924,0.9984,spatial,spatial,sync,19,279557203,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251013-182807\CA_run_19.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,279557203,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
