peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
842,2124,25,55,3320,6070,0.6576,1.0,async,async,async,0,4175867842,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867842,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
509,2155,19,51,2251,6502,0.6804,1.0,async,async,async,1,4175867843,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867843,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
570,2165,20,58,2494,6374,0.6888,1.0,async,async,async,2,4175867844,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867844,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
326,2153,24,48,1461,6449,0.4628,1.0,async,async,async,3,4175867845,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867845,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
289,2168,18,56,1660,6359,0.5948,1.0,async,async,async,4,4175867846,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867846,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
326,2149,18,53,1369,6849,0.512,1.0,async,async,async,5,4175867847,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867847,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
450,2156,25,57,2158,6209,0.62,1.0,async,async,async,6,4175867848,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867848,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
466,2163,19,58,1874,6604,0.5916,1.0,async,async,async,7,4175867849,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867849,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
469,2174,19,59,1953,6533,0.6348,1.0,async,async,async,8,4175867850,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867850,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
503,2164,22,49,2005,6561,0.6072,1.0,async,async,async,9,4175867851,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_20251012-195026\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4175867851,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
