peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
211,2158,17,50,1343,6863,0.8664,1.0,async_misclass,async_misclass,async,0,1028273237,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273237,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
177,2160,13,54,955,7187,0.8348,1.0,async_misclass,async_misclass,async,1,1028273238,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273238,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
288,2165,18,48,1327,6986,0.8572,1.0,async_misclass,async_misclass,async,2,1028273239,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273239,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
187,2140,15,53,1064,6425,0.8184,1.0,async_misclass,async_misclass,async,3,1028273240,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273240,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
229,2168,14,59,1319,6671,0.8396,1.0,async_misclass,async_misclass,async,4,1028273241,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273241,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
218,2176,19,58,1240,6828,0.8436,1.0,async_misclass,async_misclass,async,5,1028273242,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273242,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
317,2185,17,53,1405,6911,0.8436,1.0,async_misclass,async_misclass,async,6,1028273243,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273243,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
157,2174,14,52,982,7275,0.842,1.0,async_misclass,async_misclass,async,7,1028273244,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273244,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
105,2175,16,58,785,6664,0.7712,1.0,async_misclass,async_misclass,async,8,1028273245,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273245,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
109,2162,18,47,765,6841,0.8052,1.0,async_misclass,async_misclass,async,9,1028273246,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273246,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
235,2174,15,56,1086,7191,0.8436,1.0,async_misclass,async_misclass,async,10,1028273247,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_20251012-200749\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1028273247,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
