peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
149,2170,12,57,957,6580,0.798,1.0,async_misclass_async_misclass,async_misclass,async,0,2950759814,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759814,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
198,2164,13,48,1034,6717,0.8044,1.0,async_misclass_async_misclass,async_misclass,async,1,2950759815,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759815,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
174,2173,13,59,1070,6814,0.8144,1.0,async_misclass_async_misclass,async_misclass,async,2,2950759816,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759816,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
140,2167,15,59,836,6567,0.7648,1.0,async_misclass_async_misclass,async_misclass,async,3,2950759817,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759817,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
153,2142,15,58,900,6889,0.7912,1.0,async_misclass_async_misclass,async_misclass,async,4,2950759818,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759818,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
209,2145,21,46,1230,6964,0.8504,1.0,async_misclass_async_misclass,async_misclass,async,5,2950759819,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759819,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
275,2165,15,51,1246,7054,0.836,1.0,async_misclass_async_misclass,async_misclass,async,6,2950759820,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759820,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
234,2169,18,53,1251,6905,0.868,1.0,async_misclass_async_misclass,async_misclass,async,7,2950759821,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759821,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
236,2145,16,46,1371,7010,0.846,1.0,async_misclass_async_misclass,async_misclass,async,8,2950759822,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759822,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
174,2166,13,56,1116,6731,0.8552,1.0,async_misclass_async_misclass,async_misclass,async,9,2950759823,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_misclass_async_misclass_20251013-181747\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2950759823,async,True,False,True,False,False,3,0.02,0.2,0.35,radial
