peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
1189,1914,33,59,2656,2702,0.7472,0.9292,async_refractory,async_refractory,async,0,905482638,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482638,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
886,2213,31,59,1970,3160,0.7028,0.9992,async_refractory,async_refractory,async,1,905482639,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482639,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
793,2064,33,59,1683,2968,0.5364,0.9532,async_refractory,async_refractory,async,2,905482640,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482640,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
915,2115,29,59,1967,2992,0.5876,0.9736,async_refractory,async_refractory,async,3,905482641,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482641,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1090,2165,26,59,2175,3105,0.7236,0.9936,async_refractory,async_refractory,async,4,905482642,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482642,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
759,2222,32,59,1687,3166,0.5432,0.9996,async_refractory,async_refractory,async,5,905482643,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482643,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
622,2297,27,58,1465,3356,0.6108,1.0,async_refractory,async_refractory,async,6,905482644,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482644,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1068,2135,32,59,2273,2993,0.712,0.9996,async_refractory,async_refractory,async,7,905482645,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482645,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
909,2171,28,59,1815,3075,0.5712,0.9828,async_refractory,async_refractory,async,8,905482646,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482646,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
1025,2133,29,59,2053,3031,0.6328,0.9888,async_refractory,async_refractory,async,9,905482647,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_20251012-200150\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,905482647,async,True,True,False,False,False,3,0.02,0.2,0.35,radial
