peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
609,2291,26,59,1472,3403,0.894,1.0,async_refractory_misclass,async_refractory_misclass,async,0,1927902479,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902479,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
492,2315,20,59,1415,3360,0.8744,1.0,async_refractory_misclass,async_refractory_misclass,async,1,1927902480,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902480,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
688,2309,23,59,1544,3422,0.8788,1.0,async_refractory_misclass,async_refractory_misclass,async,2,1927902481,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902481,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
456,2318,26,57,1181,3461,0.8584,1.0,async_refractory_misclass,async_refractory_misclass,async,3,1927902482,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902482,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
438,2287,22,59,1360,3309,0.8552,1.0,async_refractory_misclass,async_refractory_misclass,async,4,1927902483,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902483,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
683,2321,27,59,1567,3358,0.8816,1.0,async_refractory_misclass,async_refractory_misclass,async,5,1927902484,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902484,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
655,2232,26,59,1741,3163,0.9052,0.9996,async_refractory_misclass,async_refractory_misclass,async,6,1927902485,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902485,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
591,2338,24,57,1344,3500,0.8576,1.0,async_refractory_misclass,async_refractory_misclass,async,7,1927902486,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902486,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
638,2302,23,59,1704,3354,0.9008,1.0,async_refractory_misclass,async_refractory_misclass,async,8,1927902487,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902487,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
525,2307,22,59,1551,3278,0.8904,1.0,async_refractory_misclass,async_refractory_misclass,async,9,1927902488,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902488,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
702,2301,27,59,1654,3363,0.8792,1.0,async_refractory_misclass,async_refractory_misclass,async,10,1927902489,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902489,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
780,2291,26,59,1809,3266,0.8888,1.0,async_refractory_misclass,async_refractory_misclass,async,11,1927902490,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902490,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
710,2271,24,59,1690,3361,0.8944,0.9992,async_refractory_misclass,async_refractory_misclass,async,12,1927902491,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902491,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
565,2235,29,59,1584,3296,0.8752,1.0,async_refractory_misclass,async_refractory_misclass,async,13,1927902492,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902492,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
838,2273,24,58,1847,3280,0.9068,1.0,async_refractory_misclass,async_refractory_misclass,async,14,1927902493,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902493,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
529,2313,21,59,1334,3450,0.8528,1.0,async_refractory_misclass,async_refractory_misclass,async,15,1927902494,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902494,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
451,2343,22,56,1148,3398,0.8148,1.0,async_refractory_misclass,async_refractory_misclass,async,16,1927902495,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902495,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
644,2312,24,58,1644,3346,0.9016,1.0,async_refractory_misclass,async_refractory_misclass,async,17,1927902496,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_17.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902496,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
669,2286,25,59,1627,3327,0.882,1.0,async_refractory_misclass,async_refractory_misclass,async,18,1927902497,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_18.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902497,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
821,2278,25,59,1882,3317,0.9064,1.0,async_refractory_misclass,async_refractory_misclass,async,19,1927902498,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_20251012-201502\CA_run_19.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1927902498,async,True,True,True,False,False,3,0.02,0.2,0.35,radial
