peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
685,2316,23,59,1682,3354,0.8976,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,0,2768322044,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322044,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
829,2265,26,59,1925,3323,0.9372,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,1,2768322045,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322045,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
629,2301,24,59,1524,3367,0.896,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,2,2768322046,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322046,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
643,2295,24,58,1706,3381,0.8912,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,3,2768322047,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322047,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
496,2313,28,59,1415,3251,0.8692,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,4,2768322048,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322048,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
605,2303,26,59,1569,3364,0.8828,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,5,2768322049,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322049,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
667,2298,27,59,1527,3397,0.8688,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,6,2768322050,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322050,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
449,2331,21,59,1187,3335,0.8216,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,7,2768322051,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322051,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
550,2303,25,59,1411,3375,0.8588,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,8,2768322052,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322052,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
572,2306,26,59,1478,3380,0.876,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,9,2768322053,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322053,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
650,2333,23,59,1462,3425,0.8872,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,10,2768322054,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322054,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
446,2265,25,59,1359,3277,0.8704,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,11,2768322055,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322055,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
574,2305,25,59,1464,3365,0.874,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,12,2768322056,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322056,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
686,2305,26,58,1440,3433,0.8476,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,13,2768322057,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_13.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322057,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
794,2308,24,59,1757,3266,0.8684,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,14,2768322058,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_14.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322058,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
622,2304,26,59,1548,3385,0.91,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,15,2768322059,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_15.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322059,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
601,2299,22,58,1476,3379,0.8616,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,16,2768322060,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_16.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322060,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
652,2329,24,59,1519,3441,0.8804,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,17,2768322061,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_17.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322061,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
452,2337,24,57,1163,3437,0.8452,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,18,2768322062,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_18.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322062,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
604,2305,27,58,1509,3370,0.8912,1.0,async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,19,2768322063,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_20251012-203146\CA_run_19.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2768322063,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
