peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
747,2186,28,59,1715,3092,0.8952,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,0,369981055,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981055,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
548,2196,28,59,1469,3117,0.8696,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,1,369981056,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981056,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
531,2238,28,59,1476,3136,0.8508,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,2,369981057,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981057,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
388,2280,26,58,1006,3225,0.7692,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,3,369981058,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981058,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
543,2218,28,59,1492,3064,0.874,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,4,369981059,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981059,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
596,2290,29,59,1463,3260,0.8812,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,5,369981060,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981060,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
492,2269,25,58,1179,3216,0.7936,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,6,369981061,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981061,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
526,2197,34,59,1511,3122,0.896,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,7,369981062,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981062,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
648,2084,37,59,1837,2847,0.922,0.9976,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,8,369981063,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981063,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
603,2196,29,57,1599,3047,0.864,1.0,async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial,async_refractory_misclass_hetero_spatial,async,9,369981064,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\async_refractory_misclass_hetero_spatial_async_refractory_misclass_hetero_spatial_20251013-182903\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,369981064,async,True,True,True,True,True,3,0.02,0.2,0.35,radial
