peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,seed_used,peak_fake,peak_real,t_peak_fake,t_peak_real,cum_shares_fake,cum_shares_real,run_index,seed,json_path
233,2196,17,57,1225,7094,49.04,100.0,2882979353,233,2196,17,57,1225,7094,0,2882979353,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_00.json
618,2171,18,59,2542,6940,64.76,100.0,2882979354,618,2171,18,59,2542,6940,1,2882979354,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_01.json
771,2173,22,54,2980,6614,72.2,100.0,2882979355,771,2173,22,54,2980,6614,2,2882979355,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_02.json
560,2175,21,59,1882,7056,46.4,100.0,2882979356,560,2175,21,59,1882,7056,3,2882979356,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_03.json
583,2199,16,57,2361,6799,67.24,100.0,2882979357,583,2199,16,57,2361,6799,4,2882979357,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_04.json
819,2188,21,54,3133,6496,62.68,100.0,2882979358,819,2188,21,54,3133,6496,5,2882979358,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_05.json
676,2180,19,58,2173,7161,48.24,100.0,2882979359,676,2180,19,58,2173,7161,6,2882979359,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_06.json
614,2173,20,54,2306,7135,57.68,100.0,2882979360,614,2173,20,54,2306,7135,7,2882979360,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_07.json
756,2169,26,57,3103,6352,69.88,100.0,2882979361,756,2169,26,57,3103,6352,8,2882979361,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_08.json
496,2176,19,59,2264,6915,65.36,100.0,2882979362,496,2176,19,59,2264,6915,9,2882979362,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_09.json
672,2192,18,48,2367,7042,67.36,100.0,2882979363,672,2192,18,48,2367,7042,10,2882979363,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_10.json
635,2192,19,58,2384,7089,61.56,100.0,2882979364,635,2192,19,58,2384,7089,11,2882979364,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_11.json
812,2167,21,50,3050,6795,66.8,100.0,2882979365,812,2167,21,50,3050,6795,12,2882979365,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_12.json
371,2172,17,58,1659,6906,51.04,100.0,2882979366,371,2172,17,58,1659,6906,13,2882979366,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_13.json
578,2174,20,57,2209,6955,64.88,100.0,2882979367,578,2174,20,57,2209,6955,14,2882979367,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_14.json
565,2202,20,51,2197,7043,59.56,100.0,2882979368,565,2202,20,51,2197,7043,15,2882979368,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_15.json
650,2180,29,53,2976,6298,65.52,100.0,2882979369,650,2180,29,53,2976,6298,16,2882979369,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_16.json
523,2170,19,58,2295,6575,61.56,100.0,2882979370,523,2170,19,58,2295,6575,17,2882979370,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_17.json
538,2183,18,49,2190,6801,56.44,100.0,2882979371,538,2183,18,49,2190,6801,18,2882979371,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_18.json
560,2207,19,58,1986,7129,56.44,100.0,2882979372,560,2207,19,58,1986,7129,19,2882979372,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-102351\CA_run_19.json
