peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_micro_broadcast,param_macro_hetero,param_macro_spatial
828,2178,20,55,3168,6549,0.7492,1.0,baseline,baseline,sync,0,1093781353,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781353,sync,False,False,False,False,False,False
654,2209,19,53,2455,6789,0.5612,1.0,baseline,baseline,sync,1,1093781354,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781354,sync,False,False,False,False,False,False
687,2170,23,54,2853,6835,0.7036,1.0,baseline,baseline,sync,2,1093781355,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781355,sync,False,False,False,False,False,False
738,2177,21,46,2518,6965,0.6268,1.0,baseline,baseline,sync,3,1093781356,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781356,sync,False,False,False,False,False,False
476,2187,15,47,1597,7294,0.4964,1.0,baseline,baseline,sync,4,1093781357,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781357,sync,False,False,False,False,False,False
541,2174,22,52,2507,6563,0.684,1.0,baseline,baseline,sync,5,1093781358,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781358,sync,False,False,False,False,False,False
683,2168,24,53,2330,6864,0.5092,1.0,baseline,baseline,sync,6,1093781359,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781359,sync,False,False,False,False,False,False
612,2174,18,55,2541,6932,0.626,1.0,baseline,baseline,sync,7,1093781360,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781360,sync,False,False,False,False,False,False
674,2172,21,57,2673,6703,0.624,1.0,baseline,baseline,sync,8,1093781361,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781361,sync,False,False,False,False,False,False
314,2192,16,57,1520,7054,0.5372,1.0,baseline,baseline,sync,9,1093781362,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781362,sync,False,False,False,False,False,False
357,2186,19,56,1601,6898,0.4868,1.0,baseline,baseline,sync,10,1093781363,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251012-110107\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1093781363,sync,False,False,False,False,False,False
