peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
550,2153,23,59,2496,6171,0.6668,1.0,baseline,baseline,sync,0,1813681661,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681661,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
505,2127,27,57,2428,5837,0.6124,1.0,baseline,baseline,sync,1,1813681662,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681662,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
421,2135,24,59,2362,5933,0.674,1.0,baseline,baseline,sync,2,1813681663,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681663,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
678,2130,28,59,3071,6043,0.7016,1.0,baseline,baseline,sync,3,1813681664,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681664,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
582,2126,26,59,2730,5712,0.6312,1.0,baseline,baseline,sync,4,1813681665,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681665,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
423,2091,31,59,2634,5346,0.6792,1.0,baseline,baseline,sync,5,1813681666,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681666,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
476,2088,27,59,2634,5530,0.638,0.9996,baseline,baseline,sync,6,1813681667,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681667,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
472,2161,22,58,2112,6146,0.6144,1.0,baseline,baseline,sync,7,1813681668,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681668,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
358,2102,23,59,1979,5712,0.6908,0.9992,baseline,baseline,sync,8,1813681669,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681669,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
860,2071,26,59,4191,5123,0.7544,1.0,baseline,baseline,sync,9,1813681670,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\baseline_20251013-180746\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1813681670,sync,False,False,False,False,False,3,0.02,0.2,0.35,radial
