peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
550,1956,29,58,2747,5092,0.6356,1.0,hetero_spatial,hetero_spatial,sync,0,3407357547,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357547,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
472,1936,26,58,2576,4792,0.7292,1.0,hetero_spatial,hetero_spatial,sync,1,3407357548,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357548,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
447,1977,25,59,2554,4962,0.6672,1.0,hetero_spatial,hetero_spatial,sync,2,3407357549,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357549,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
519,2048,29,59,2608,5158,0.5652,1.0,hetero_spatial,hetero_spatial,sync,3,3407357550,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357550,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
297,2055,23,59,1591,5408,0.5796,0.9992,hetero_spatial,hetero_spatial,sync,4,3407357551,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357551,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
535,2039,32,59,2781,5290,0.7108,1.0,hetero_spatial,hetero_spatial,sync,5,3407357552,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357552,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
485,1893,33,59,2564,4481,0.5756,0.9828,hetero_spatial,hetero_spatial,sync,6,3407357553,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357553,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
607,1971,29,56,3064,4981,0.6412,1.0,hetero_spatial,hetero_spatial,sync,7,3407357554,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357554,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
453,2003,30,59,2130,5075,0.5836,1.0,hetero_spatial,hetero_spatial,sync,8,3407357555,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357555,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
473,2014,28,59,2540,4917,0.6636,1.0,hetero_spatial,hetero_spatial,sync,9,3407357556,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\hetero_spatial_20251013-182836\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,3407357556,sync,False,False,False,True,True,3,0.02,0.2,0.35,radial
