peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
413,2128,22,58,2573,6090,0.7956,1.0,micro_async_async,async,async,0,910623685,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623685,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
482,2158,23,56,2129,6657,0.6956,1.0,micro_async_async,async,async,1,910623686,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623686,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
370,2177,19,54,1744,6997,0.6512,1.0,micro_async_async,async,async,2,910623687,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623687,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
635,2163,22,56,2386,6526,0.6304,1.0,micro_async_async,async,async,3,910623688,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623688,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
358,2151,19,56,1750,6432,0.5912,1.0,micro_async_async,async,async,4,910623689,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623689,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
535,2139,20,52,2360,6472,0.7168,1.0,micro_async_async,async,async,5,910623690,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623690,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
553,2140,21,52,2494,6356,0.6252,1.0,micro_async_async,async,async,6,910623691,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623691,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
706,2149,32,58,3186,5891,0.766,1.0,micro_async_async,async,async,7,910623692,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623692,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
377,2128,21,55,1618,6485,0.5456,1.0,micro_async_async,async,async,8,910623693,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623693,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
468,2171,22,58,2166,6484,0.6996,1.0,micro_async_async,async,async,9,910623694,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\micro_async_async_20251013-180820\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,910623694,async,True,False,False,False,False,3,0.02,0.2,0.35,radial
