peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
217,2152,16,59,1224,6530,0.8164,1.0,misclass,misclass,sync,0,1254174952,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174952,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
162,2164,18,54,1148,6121,0.7996,1.0,misclass,misclass,sync,1,1254174953,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174953,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
185,2153,12,59,1199,6403,0.826,1.0,misclass,misclass,sync,2,1254174954,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174954,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
155,2154,12,59,989,6556,0.7992,1.0,misclass,misclass,sync,3,1254174955,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174955,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
269,2166,14,57,1395,6427,0.8308,1.0,misclass,misclass,sync,4,1254174956,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174956,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
280,2137,15,53,1407,6480,0.8512,1.0,misclass,misclass,sync,5,1254174957,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174957,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
157,2148,16,58,1160,6222,0.8252,1.0,misclass,misclass,sync,6,1254174958,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174958,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
158,2115,17,58,1013,5953,0.774,0.9984,misclass,misclass,sync,7,1254174959,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174959,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
179,2143,16,59,1181,6783,0.8368,1.0,misclass,misclass,sync,8,1254174960,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174960,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
126,2132,15,59,808,6353,0.754,1.0,misclass,misclass,sync,9,1254174961,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\misclass_20251013-181314\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,1254174961,sync,False,False,True,False,False,3,0.02,0.2,0.35,radial
