peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
506,2264,29,59,1471,3176,0.8716,1.0,refractory_misclass,refractory_misclass,sync,0,4173414012,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414012,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
641,2278,26,59,1641,3199,0.8548,1.0,refractory_misclass,refractory_misclass,sync,1,4173414013,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414013,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
681,2224,30,59,1719,3131,0.9196,1.0,refractory_misclass,refractory_misclass,sync,2,4173414014,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414014,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
638,2208,29,59,1774,3065,0.8856,1.0,refractory_misclass,refractory_misclass,sync,3,4173414015,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414015,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
384,2275,27,58,1184,3258,0.8292,1.0,refractory_misclass,refractory_misclass,sync,4,4173414016,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414016,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
504,2271,32,59,1439,3154,0.8572,1.0,refractory_misclass,refractory_misclass,sync,5,4173414017,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414017,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
596,2258,31,59,1599,3231,0.9052,1.0,refractory_misclass,refractory_misclass,sync,6,4173414018,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414018,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
441,2342,25,58,1166,3344,0.8144,1.0,refractory_misclass,refractory_misclass,sync,7,4173414019,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414019,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
551,2281,28,59,1474,3302,0.8648,1.0,refractory_misclass,refractory_misclass,sync,8,4173414020,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414020,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
381,2268,22,59,1150,3285,0.8168,0.9992,refractory_misclass,refractory_misclass,sync,9,4173414021,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\refractory_misclass_20251013-182234\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,4173414021,sync,False,True,True,False,False,3,0.02,0.2,0.35,radial
