peak_f,peak_r,t_peak_f,t_peak_r,total_shares_f,total_shares_r,reach_fake,reach_real,label,features,update_scheme,run_index,seed,json_path,param_N,param_T,param_beta_see,param_beta_share_f,param_beta_share_r,param_seeds_f0,param_seeds_r0,param_gamma_correction,param_gamma_switch,param_delta_decay_f,param_delta_decay_r,param_rng_seed,param_update_scheme,param_micro_async,param_micro_refractory,param_micro_misclass,param_macro_hetero,param_macro_spatial,param_tau_post,param_eta_misclass,param_hetero_sd,param_spatial_strength,param_spatial_mode
630,2115,21,57,2562,6166,0.6768,1.0,spatial,spatial,sync,0,2223565535,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_00.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565535,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
419,2093,23,57,1887,6510,0.57,1.0,spatial,spatial,sync,1,2223565536,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_01.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565536,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
347,2071,19,59,1597,6516,0.568,1.0,spatial,spatial,sync,2,2223565537,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_02.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565537,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
745,2108,23,59,2679,6225,0.642,1.0,spatial,spatial,sync,3,2223565538,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_03.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565538,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
618,2053,27,54,2705,6026,0.5724,1.0,spatial,spatial,sync,4,2223565539,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_04.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565539,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
256,2084,22,56,1307,6263,0.3488,1.0,spatial,spatial,sync,5,2223565540,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_05.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565540,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
554,2090,22,53,2180,6520,0.6376,1.0,spatial,spatial,sync,6,2223565541,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_06.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565541,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
490,2100,20,55,2197,6529,0.6064,1.0,spatial,spatial,sync,7,2223565542,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_07.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565542,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
513,2073,26,57,2394,6028,0.5748,1.0,spatial,spatial,sync,8,2223565543,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_08.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565543,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
550,2102,25,58,2131,6299,0.5808,1.0,spatial,spatial,sync,9,2223565544,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_09.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565544,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
686,2033,24,56,3516,5449,0.7772,1.0,spatial,spatial,sync,10,2223565545,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_10.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565545,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
468,2086,21,56,2067,6491,0.6432,1.0,spatial,spatial,sync,11,2223565546,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_11.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565546,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
518,2090,27,58,2266,6236,0.5996,1.0,spatial,spatial,sync,12,2223565547,C:\Users\John Koh\Desktop\Australia\University\2025 Sem 2\CITS 4403\Project\data\runs\ca\spatial_20251012-143415\CA_run_12.json,50,60,0.35,0.5,0.4,6,5,0.7,0.3,0.12,0.06,2223565547,sync,False,False,False,False,True,3,0.02,0.2,0.35,radial
