condition,reach_fake_mean,reach_fake_se,reach_real_mean,reach_real_se,peak_fake_mean,peak_fake_se,peak_real_mean,peak_real_se
async,0.62434,0.017550343226513294,1.0,0.0,483.55,26.670156295794467,2156.6,2.8054458319114755
async_hetero,0.638,0.015089487452493121,1.0,0.0,496.95,24.71399294667742,2159.3,2.925477918670995
async_misclass,0.8274000000000001,0.0062858571412337996,1.0,0.0,190.6,13.346081624838135,2161.75,3.9834360993863993
async_refractory,0.659,0.015612046630727185,0.98078,0.004844832298439234,967.15,34.896333316659046,2116.1,24.257380862652703
async_refractory_misclass,0.87992,0.005174723994673788,0.9999399999999999,4.3769732392193354e-05,624.2,26.5257174117973,2296.15,6.461332354048481
async_refractory_misclass_hetero,0.87752,0.005057113801369313,1.0,0.0,621.75,19.578569782720137,2303.55,5.338280326294719
async_refractory_misclass_hetero_spatial,0.87676,0.0055768619736984906,1.0,0.0,610.3,22.865867460843074,2306.05,4.181082081043262
baseline,31.031333333333336,2.810307827577642,50.5,4.537657560289646,563.4916666666667,13.795550960624572,2172.7833333333333,2.056763909100356
misclass,0.80274,0.007930236606279726,1.0,0.0,177.55,11.148867065406478,2149.85,4.793238109978198
misclass_hetero,0.79506,0.011129487622385952,0.9997,0.00016638572813290102,183.6,9.35256789955515,2137.15,4.6658191586314866
refractory,0.6746000000000001,0.010535373997308205,0.9374399999999999,0.011754878942267696,934.85,37.77818048890962,1933.15,34.13581812330514
refractory_hetero,0.6937800000000001,0.01041207699589381,0.93614,0.008722929252082815,976.55,27.163682701260093,1920.3,28.950056812961254
refractory_misclass,0.86372,0.006995162238064397,0.9992800000000001,0.00038344697018932055,606.65,20.576209435579774,2251.35,12.615419762713948
